timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1703024973067,12592,abrir pestaña del producto,200,OK,Http URL/API Test 1-1,text,true,,304614,435,10,10,https://www.oechsle.pe/iphone-15-pro-max-256gb-esim---black-titanium-1000734619/p,1812,0,1006
1703024974066,17894,abrir pestaña del producto,200,OK,Http URL/API Test 1-2,text,true,,304614,435,10,10,https://www.oechsle.pe/iphone-15-pro-max-256gb-esim---black-titanium-1000734619/p,6766,0,812
1703024991960,131310,buscar producto iphone,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: busca.oechsle.pe:443 failed to respond,Http URL/API Test 1-2,text,false,,2097,0,10,10,https://busca.oechsle.pe/search?query=iphone+15+pro+max,0,0,131309
1703024978067,153678,abrir pestaña del producto,200,OK,Http URL/API Test 1-6,text,true,,304614,435,10,10,https://www.oechsle.pe/iphone-15-pro-max-256gb-esim---black-titanium-1000734619/p,12356,0,10841
1703024976067,157331,abrir pestaña del producto,200,OK,Http URL/API Test 1-4,text,true,,304614,435,10,10,https://www.oechsle.pe/iphone-15-pro-max-256gb-esim---black-titanium-1000734619/p,13997,0,12402
1703024979071,154643,abrir pestaña del producto,200,OK,Http URL/API Test 1-7,text,true,,304614,435,10,10,https://www.oechsle.pe/iphone-15-pro-max-256gb-esim---black-titanium-1000734619/p,13117,0,10249
1703024975068,161710,abrir pestaña del producto,200,OK,Http URL/API Test 1-3,text,true,,304614,435,10,10,https://www.oechsle.pe/iphone-15-pro-max-256gb-esim---black-titanium-1000734619/p,13479,0,12138
1703024977066,160135,abrir pestaña del producto,200,OK,Http URL/API Test 1-5,text,true,,304614,435,10,10,https://www.oechsle.pe/iphone-15-pro-max-256gb-esim---black-titanium-1000734619/p,13303,0,11451
1703024981066,157394,abrir pestaña del producto,200,OK,Http URL/API Test 1-9,text,true,,304614,435,10,10,https://www.oechsle.pe/iphone-15-pro-max-256gb-esim---black-titanium-1000734619/p,10957,0,8284
1703024985662,154580,buscar producto iphone,200,OK,Http URL/API Test 1-1,text,true,,403881,1210,10,10,https://busca.oechsle.pe/search?query=iphone+15+pro+max,12824,0,4967
1703024980067,160254,abrir pestaña del producto,200,OK,Http URL/API Test 1-8,text,true,,304614,435,10,10,https://www.oechsle.pe/iphone-15-pro-max-256gb-esim---black-titanium-1000734619/p,11524,0,9257
1703024982067,158314,abrir pestaña del producto,200,OK,Http URL/API Test 1-10,text,true,,304614,435,10,10,https://www.oechsle.pe/iphone-15-pro-max-256gb-esim---black-titanium-1000734619/p,13419,0,8391
1703025123272,18228,agregar producto al carrito,200,OK,Http URL/API Test 1-2,text,true,,4675,1336,10,10,https://www.oechsle.pe/api/checkout/pub/orderForm/9036f0dc00214c248418ceb71d1e8a57/items?sc=1,18228,0,17104
1703025140244,1517,agregar producto al carrito,200,OK,Http URL/API Test 1-1,text,true,,4672,1336,10,10,https://www.oechsle.pe/api/checkout/pub/orderForm/9036f0dc00214c248418ceb71d1e8a57/items?sc=1,1517,0,395
1703025141761,6792,https://www.oechsle.pe/checkout,200,OK,Http URL/API Test 1-1,text,true,,33796,683,10,10,https://www.oechsle.pe/checkout,5037,0,0
1703025148556,11147,check legal email,Non HTTP response code: java.net.UnknownHostException,Non HTTP response message: Host desconocido (api.oechsleonline.pe),Http URL/API Test 1-1,text,false,,2522,0,10,10,https://api.oechsleonline.pe/api/masterdata/v1/checks-legal?email=testRendimiento@gmail.com,0,0,11147
1703025159704,10421,first form,200,OK,Http URL/API Test 1-1,text,true,,4672,1871,10,10,https://www.oechsle.pe/api/checkout/pub/orderForm/9036f0dc00214c248418ceb71d1e8a57/attachments/clientProfileData,10421,0,0
1703025170125,7508,metodo de entrega,200,OK,Http URL/API Test 1-1,text,true,,722,938,10,10,"https://www.oechsle.pe/api/dataentities/LC/documents/db7e4d27-113a-11ed-835d-1205c9a423b1?_fields=isActive,metodoEntrega",7508,0,0
1703025141502,37081,https://www.oechsle.pe/checkout,200,OK,Http URL/API Test 1-2,text,true,,33842,683,10,10,https://www.oechsle.pe/checkout,8958,0,0
1703025136780,51134,buscar producto iphone,200,OK,Http URL/API Test 1-3,text,true,,404135,1210,10,10,https://busca.oechsle.pe/search?query=iphone+15+pro+max,4729,0,3802
1703025177635,22535,datos de despacho o entrega,200,OK,Http URL/API Test 1-1,text,true,,5939,3283,10,10,https://www.oechsle.pe/api/checkout/pub/orderForm/9036f0dc00214c248418ceb71d1e8a57/attachments/shippingData,22535,0,0
1703025133714,70430,buscar producto iphone,200,OK,Http URL/API Test 1-7,text,true,,404135,1210,10,10,https://busca.oechsle.pe/search?query=iphone+15+pro+max,8549,0,6995
1703025140322,64323,buscar producto iphone,200,OK,Http URL/API Test 1-8,text,true,,404135,1210,10,10,https://busca.oechsle.pe/search?query=iphone+15+pro+max,4698,0,319
1703025138460,66582,buscar producto iphone,200,OK,Http URL/API Test 1-9,text,true,,404135,1210,10,10,https://busca.oechsle.pe/search?query=iphone+15+pro+max,10421,0,2246
